"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Для получения ошибки передаем некорректные, несуществующие логин и пароль, либо вообще их не передаем","116","Проверка ошибки при некорректных, нeсуществующих данных или их отсутствии","tests","Sun Jan 19 22:40:53 MSK 2025","passed","Sun Jan 19 22:40:53 MSK 2025","TestCourierLogin","test_courier_login","",""
"Для успешного создания заказа заполняем все поля и выбираем разные цвета самоката","80","Проверка успешного сценария создания заказа с разными цветами самоката","tests","Sun Jan 19 22:40:55 MSK 2025","passed","Sun Jan 19 22:40:55 MSK 2025","TestCreateOrder","test_create_order","",""
"Для получения ошибки передаем одинаковые данные для повторного создания одного и того же курьера","210","Проверка ошибки при создании одного и того же курьера","tests","Sun Jan 19 22:40:54 MSK 2025","passed","Sun Jan 19 22:40:54 MSK 2025","TestCreateCourier","test_create_courier","",""
"Для успешного создания заказа заполняем все поля и выбираем разные цвета самоката","64","Проверка успешного сценария создания заказа с разными цветами самоката","tests","Sun Jan 19 22:40:55 MSK 2025","passed","Sun Jan 19 22:40:55 MSK 2025","TestCreateOrder","test_create_order","",""
"Для получения ошибки  пароль и имя передаем уникальные, а логин повторный","150","Проверка ошибки при повторном использовании логина для создания курьера","tests","Sun Jan 19 22:40:54 MSK 2025","passed","Sun Jan 19 22:40:55 MSK 2025","TestCreateCourier","test_create_courier","",""
"Для получения ошибки передаем некорректные, несуществующие логин и пароль, либо вообще их не передаем","56","Проверка ошибки при некорректных, нeсуществующих данных или их отсутствии","tests","Sun Jan 19 22:40:54 MSK 2025","passed","Sun Jan 19 22:40:54 MSK 2025","TestCourierLogin","test_courier_login","",""
"Для успешного создания заказа заполняем все поля и выбираем разные цвета самоката","71","Проверка успешного сценария создания заказа с разными цветами самоката","tests","Sun Jan 19 22:40:55 MSK 2025","passed","Sun Jan 19 22:40:55 MSK 2025","TestCreateOrder","test_create_order","",""
"Для получения ошибки передаем некорректные, несуществующие логин и пароль, либо вообще их не передаем","102","Проверка ошибки при некорректных, нeсуществующих данных или их отсутствии","tests","Sun Jan 19 22:40:53 MSK 2025","passed","Sun Jan 19 22:40:54 MSK 2025","TestCourierLogin","test_courier_login","",""
"Для получения ошибки передаем некорректные, несуществующие логин и пароль, либо вообще их не передаем","46","Проверка ошибки при некорректных, нeсуществующих данных или их отсутствии","tests","Sun Jan 19 22:40:54 MSK 2025","passed","Sun Jan 19 22:40:54 MSK 2025","TestCourierLogin","test_courier_login","",""
"Для успешного получения списка заказов передаем в URL необходимые параметры","1484","Проверка успешного получения списка заказов","tests","Sun Jan 19 22:40:55 MSK 2025","passed","Sun Jan 19 22:40:56 MSK 2025","TestGetOrders","test_get_orders","",""
"Для успешного создания нового курьера при каждом обращении передаем уникальные данные","495","Проверка успешного сценария создания нового курьера","tests","Sun Jan 19 22:40:54 MSK 2025","passed","Sun Jan 19 22:40:54 MSK 2025","TestCreateCourier","test_create_courier","",""
"Для успешной авторизации курьера передаем уникальные логин и пароль","186","Проверка успешной авторизации курьера","tests","Sun Jan 19 22:40:53 MSK 2025","passed","Sun Jan 19 22:40:53 MSK 2025","TestCourierLogin","test_courier_login","",""
